Log file created at: 2019/04/27 10:28:27
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:28:27.485291  2097 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
W0427 10:28:33.400214  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.119844
W0427 10:28:33.400223  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.129485
W0427 10:28:33.400229  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.138762
W0427 10:28:33.400236  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.147682
W0427 10:28:33.400243  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.156249
W0427 10:28:33.400249  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.16447
W0427 10:28:33.400255  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.172352
W0427 10:28:33.400264  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14124e+06, 0), heading = -0.179902
W0427 10:28:33.400271  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14123e+06, 0), heading = -0.187126
W0427 10:28:33.400282  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.194031
W0427 10:28:33.400291  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.200625
W0427 10:28:33.400300  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.206914
W0427 10:28:33.400310  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.212906
W0427 10:28:33.400317  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.218607
W0427 10:28:33.400326  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.224026
W0427 10:28:33.400334  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.22917
W0427 10:28:33.400341  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.234047
W0427 10:28:33.400348  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.238663
W0427 10:28:33.400357  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.243026
W0427 10:28:33.400365  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.247146
W0427 10:28:33.400373  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.251028
W0427 10:28:33.400382  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586997, 4.14123e+06, 0), heading = -0.254681
W0427 10:28:33.400391  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586997, 4.14123e+06, 0), heading = -0.258114
W0427 10:28:33.414073  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0886793
W0427 10:28:33.414099  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0994459
W0427 10:28:33.414106  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.119844
W0427 10:28:33.414113  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.129485
W0427 10:28:33.414119  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.138762
W0427 10:28:33.414126  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.147682
W0427 10:28:33.414132  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.156249
W0427 10:28:33.414139  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.16447
W0427 10:28:33.414144  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.172352
W0427 10:28:33.414149  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14124e+06, 0), heading = -0.179902
W0427 10:28:33.414155  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14123e+06, 0), heading = -0.187126
W0427 10:28:33.414162  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.194031
W0427 10:28:33.414168  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.200625
W0427 10:28:33.414176  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.206914
W0427 10:28:33.414186  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.212906
W0427 10:28:33.414192  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.218607
W0427 10:28:33.414201  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.224026
