Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:23:44.083794  1773 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:44.087255  1773 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.088418  1773 planning_component.cc:154]  Planning response time: 53.6046
E0427 10:23:44.139115  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.196174  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:44.198907  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.199923  1765 planning_component.cc:154]  Planning response time: 64.8956
E0427 10:23:44.237974  1764 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.288504  1764 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:44.291426  1764 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.292588  1764 planning_component.cc:154]  Planning response time: 57.6177
E0427 10:23:44.335531  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.361563  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:44.364403  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.365442  1765 planning_component.cc:154]  Planning response time: 30.7364
E0427 10:23:44.437562  1770 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.496043  1770 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:44.498849  1770 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.499876  1770 planning_component.cc:154]  Planning response time: 64.9441
E0427 10:23:44.538542  1769 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.593139  1769 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.8687
E0427 10:23:44.596252  1769 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.597271  1769 planning_component.cc:154]  Planning response time: 62.208
E0427 10:23:44.635964  1764 valet_parking_scenario.cc:111]  No parking space id from routing
